date,screen,fill_rate
2026-07-05,Akureyri #1,0.3016666666666667
2026-07-05,Akureyri #2,0.3683333333333333
2026-07-05,Austurstræti,0
2026-07-05,Borgartún,0.33499999999999996
2026-07-05,Breiðholt #1,0.5349999999999999
2026-07-05,Breiðholt #2,0.2
2026-07-05,Egilshöll #1,0.49999999999999994
2026-07-05,Egilshöll #2,0.13333333333333333
2026-07-05,Einhella,0.16833333333333333
2026-07-05,Fjarðarhraun,0.13333333333333333
2026-07-05,Frumherji - Reykjanesbær,0.10003333333333334
2026-07-05,Frumherji - Selfoss,0.7333333333333333
2026-07-05,Glerártorg #1,0.7683333333333333
2026-07-05,Glerártorg #2,0.6
2026-07-05,Grandi,0.26833333333333337
2026-07-05,Hafnartorg #1 Inngangur,0.34374999999999994
2026-07-05,Hafnartorg #2 Lengja,0.17708333333333331
2026-07-05,Hafnartorg #3 Greiðsluvél,0.08333333333333333
2026-07-05,Hafnartorg #4 Kubbur,0.17708333333333331
2026-07-05,Hagasmári,0.39999999999999997
2026-07-05,Hæðasmári #1,0.5333333333333333
2026-07-05,Hæðasmári Standur - Portrait,0.1
2026-07-05,Höfðabakki #1,0.30166666666666664
2026-07-05,Höfðabakki #2,0.2
2026-07-05,Kaplakriki #1,0.5016666666666666
2026-07-05,Kaplakriki #2,0.6
2026-07-05,Kaplakriki #3,0.26833333333333337
2026-07-05,Litlatún #1,0.3333333333333333
2026-07-05,Lyfjaval - Suðurfell,0.13333333333333333
2026-07-05,Lyfjaval - Vesturlandsvegur,0.13333333333333333
2026-07-05,Njarðarbraut #1,0.26833333333333337
2026-07-05,Njarðarbraut #2,0.3016666666666667
2026-07-05,Selfoss #1,0.9016666666666666
2026-07-05,Selfoss #2,0.635
2026-07-05,Smáratorg #1,0.3
2026-07-05,Smáratorg #2,0.06666666666666667
2026-07-05,Sæbraut - Holtagarðar,0.06666666666666667
2026-07-05,Sæbraut - Sundaborg,0
2026-07-05,Vatnsendahvarf #1,0
2026-07-05,Vestmannaeyjar,0.39999999999999997
2026-07-05,Vesturlandsvegur #1,0.5016666666666666
2026-07-05,Vesturlandsvegur #2,0.7016666666666667
